id,products_fromstore,products_frombrand
carrefour,30844,20865
magasins-u,20856,0
auchan,19588,14657
lidl,16063,6318
leclerc,13037,2660
delhaize,11146,6298
aldi,8232,3825
intermarche,7714,1462
casino,7298,5935
migros,7090,5465
monoprix,5991,3574
tesco,5829,4889
cora,5499,3794
leader-price,5318,5090
rewe,4532,1964
super-u,4202,307
franprix,4182,1957
mercadona,4088,3380
spar,4048,3784
colruyt,3631,789
netto,3451,2022
walmart,3370,131
edeka,3183,2171
marks-spencer,3020,2225
picard,2972,2909
coop,2934,6945
sainsbury-s,2880,1917
carrefour-market,2642,53
meijer,2606,2689
asda,2598,2636
woolworths,2473,559
thiriet,2230,2242
waitrose,2229,2028
kaufland,2069,887
kroger,2051,2369
dia,2024,3077
la-vie-claire,2010,2160
morrisons,1988,2132
biocoop,1825,719
ekoplaza,1819,262
soriana,1613,0
esselunga,1607,1519
alteza,1518,1613
eroski,1516,2524
bonarea,1288,8928
bodega-aurrera,1198,0
metro,1189,301
hacendado,1099,6315
e-leclerc,1095,610
noz,1059,0
coles,892,1033
alnatura,889,1738
trader-joe-s,884,2618
albert-heijn,855,1321
sams-club,828,0
whole-foods,793,105
bennet,785,767
biocoop-caluire,767,0
oxxo,751,0
la-comer,735,0
biedronka,700,115
alcampo,676,101
aldi-sud,675,41
8-a-huit,654,0
proxi,653,0
grand-frais,652,661
norma,630,159
simply-market,622,24
jumbo,620,908
todis,616,603
penny,606,943
sky,600,0
el-corte-ingles,597,1914
hyper-u,592,47
ahorramas,578,0
bio14,555,0
globus,510,262
dm,509,260
conad,509,1937
naturalia,493,372
denner,492,794
costco,481,68
aldi-nord,475,0
continente,470,930
mercado-soriana,457,0
redmart,449,0
u-express,443,0
hema,430,861
geant-casino,422,15
hipercor,422,0
banque-alimentaire,408,0
netto-marken-discount,402,24
u,402,8322
carrefour-city,397,0
geant,391,19
match,388,102
marktkauf,378,0
ica-supermarket,366,0
bilo,312,0
hit,295,27
billa,294,256
sam-s-club,290,0
amazon,287,18
la-belle-iloise,283,373
real,282,226
decathlon,275,51
ica,273,461
пятёрочка,265,0
city-club,253,0
maxi,239,13
iga,238,213
hofer,235,75
willys,232,0
boucheries-andre,231,67
dpiu,226,0
natureo,222,187
k-market,202,0
france,201,0
safeway,199,93
bonpreu,198,1542
ocado,197,69
superu,194,0
rossmann,193,483
bioladen,190,123
bi1,186,29
supersol,184,541
action,184,14
магнит,184,0
iperal,178,0
md,173,54
despar,173,1472
caprabo,165,0
pingo-doce,165,520
simply,164,225
superama,161,0
eurospin,160,42
tang-freres,158,63
satoriz,157,0
consum,149,1463
mcdonald-s,146,167
